iter	RMSE
0	12045.89159
1	11677.33915
2	11330.92623
3	11052.05537
4	10714.5817
5	10413.00204
6	10113.6999
7	9818.640159
8	9547.395432
9	9284.008779
10	9022.58733
11	8783.16551
12	8557.866243
13	8344.837845
14	8129.302621
15	7920.661915
16	7737.287204
17	7549.827323
18	7372.959767
19	7198.714724
20	7054.094727
21	6898.628422
22	6758.005129
23	6633.053925
24	6489.184537
25	6368.28723
26	6253.723013
27	6143.607782
28	6042.51141
29	5940.788835
30	5844.849044
31	5745.145586
32	5656.2489
33	5582.121252
34	5501.43572
35	5424.665578
36	5354.774186
37	5285.873355
38	5216.441428
39	5158.611082
40	5097.8738
41	5039.111441
42	4994.281147
43	4946.190746
44	4897.377875
45	4858.77457
46	4814.651144
47	4773.780282
48	4737.210493
49	4706.982239
50	4673.581678
51	4638.325928
52	4604.566616
53	4577.646487
54	4547.299785
55	4519.138646
56	4493.915095
57	4467.461983
58	4454.496661
59	4432.502788
60	4410.978527
61	4389.772021
62	4370.274242
63	4350.631602
64	4334.448627
65	4322.092318
66	4304.247583
67	4286.15585
68	4271.868891
69	4263.025246
70	4248.244284
71	4237.365376
72	4220.945385
73	4207.571479
74	4197.026453
75	4185.150985
76	4173.810906
77	4163.203609
78	4149.827035
79	4139.371436
80	4130.817169
81	4119.724202
82	4111.524701
83	4102.034125
84	4094.479929
85	4083.899966
86	4078.694962
87	4071.306675
88	4062.719643
89	4053.156746
90	4047.323151
91	4040.026209
92	4035.301997
93	4028.852843
94	4023.216925
95	4018.257365
96	4011.893618
97	4003.132108
98	3997.937229
99	3994.066596
100	3990.049873
101	3983.622474
102	3979.729787
103	3977.049153
104	3970.553297
105	3963.960513
106	3956.489904
107	3948.398852
108	3944.631131
109	3940.151159
110	3937.525141
111	3933.918414
112	3927.15667
113	3922.915317
114	3917.969696
115	3913.142931
116	3907.778673
117	3903.73196
118	3900.351434
119	3893.13146
120	3889.906245
121	3885.868664
122	3881.740334
123	3879.274556
124	3876.10895
125	3873.111092
126	3868.819487
127	3865.382433
128	3860.814349
129	3856.284332
130	3852.481133
131	3849.733434
132	3844.96539
133	3840.506657
134	3837.745289
135	3833.993185
136	3831.251286
137	3829.383368
138	3827.135552
139	3824.19131
140	3818.072765
141	3817.283295
142	3815.188544
143	3811.087458
144	3807.622125
145	3802.17628
146	3796.803965
147	3793.924687
148	3791.248813
149	3790.338051
150	3787.396063
151	3783.494597
152	3777.824035
153	3776.362132
154	3771.321969
155	3769.378461
156	3766.573214
157	3761.894282
158	3758.41695
159	3754.908288
160	3753.284858
161	3751.285683
162	3748.066536
163	3747.264065
164	3743.184636
165	3741.198097
166	3734.09154
167	3729.112362
168	3727.369565
169	3722.633902
170	3720.675728
171	3718.345986
172	3715.078995
173	3708.357374
174	3704.679393
175	3701.453632
176	3697.66623
177	3691.626786
178	3686.638645
179	3683.614714
180	3680.955359
181	3675.698898
182	3672.437143
183	3669.209516
184	3666.552655
185	3664.498756
186	3662.616356
187	3660.838139
188	3657.51571
189	3652.332055
190	3649.337368
191	3642.464358
192	3640.819152
193	3637.832822
194	3634.982111
195	3631.637343
196	3627.437215
197	3623.26613
198	3620.754078
199	3619.808989
200	3617.308609
201	3615.688042
202	3612.688076
203	3611.648845
204	3607.77178
205	3606.115093
206	3601.12418
207	3598.609199
208	3597.584983
209	3595.868584
210	3594.009828
211	3592.82465
212	3589.237604
213	3586.819474
214	3585.041837
215	3583.887989
216	3582.34022
217	3580.427625
218	3579.141944
219	3577.445796
220	3575.993037
221	3571.312195
222	3570.520712
223	3568.77443
224	3567.627791
225	3564.217871
226	3561.864757
227	3559.252073
228	3557.672837
229	3553.064293
230	3547.180622
231	3545.576596
232	3544.038145
233	3542.85348
234	3540.699813
235	3539.429996
236	3538.313594
237	3535.698463
238	3533.370433
239	3529.330113
240	3524.993044
241	3521.729209
242	3520.393776
243	3519.493111
244	3515.345078
245	3511.153963
246	3507.330982
247	3503.359223
248	3502.949193
249	3501.435887
250	3500.58703
251	3499.050565
252	3495.275633
253	3491.739247
254	3491.144517
255	3486.161009
256	3484.741182
257	3482.351298
258	3481.17761
259	3480.471946
260	3480.141285
261	3478.752436
262	3477.101292
263	3473.587049
264	3472.870946
265	3468.923971
266	3467.778557
267	3466.325103
268	3464.732055
269	3460.019769
270	3458.887347
271	3455.488964
272	3455.140399
273	3454.794835
274	3453.396107
275	3450.589387
276	3446.874928
277	3443.771955
278	3441.4166
279	3440.253692
280	3438.364876
281	3434.865293
282	3430.753703
283	3429.625686
284	3427.300283
285	3423.300437
286	3419.549684
287	3418.758298
288	3418.369527
289	3417.487409
290	3414.913984
291	3414.635223
292	3413.242042
293	3410.531189
294	3409.168126
295	3408.104509
296	3406.8181
297	3406.264885
298	3405.786494
299	3402.580047
300	3400.283143
301	3396.412242
302	3395.439101
303	3392.94233
304	3389.097336
305	3388.070499
306	3387.574384
307	3386.295578
308	3385.239555
309	3381.996207
310	3381.704475
311	3380.529101
312	3378.066736
313	3377.550077
314	3375.651483
315	3374.11777
316	3373.180293
317	3369.498275
318	3368.779912
319	3368.509202
320	3367.289827
321	3366.991713
322	3366.442575
323	3362.91347
324	3362.383489
325	3361.156364
326	3358.002149
327	3357.296034
328	3356.090389
329	3355.055894
330	3351.508628
331	3350.080613
332	3347.083395
333	3346.149467
334	3342.425602
335	3341.145373
336	3340.352373
337	3339.122604
338	3336.103624
339	3335.303369
340	3330.698834
341	3330.234943
342	3325.64427
343	3323.118129
344	3322.880643
345	3322.406256
346	3317.995677
347	3314.423663
348	3310.025573
349	3307.849182
350	3306.41545
351	3301.773431
352	3297.787449
353	3296.668454
354	3295.738345
355	3294.510675
356	3292.948919
357	3290.189043
358	3287.075891
359	3286.19543
360	3282.892951
361	3279.114472
362	3278.166497
363	3275.930019
364	3274.982653
365	3274.398088
366	3272.784084
367	3270.279273
368	3268.966888
369	3264.881676
370	3261.329491
371	3259.482452
372	3256.896045
373	3255.784418
374	3252.236208
375	3251.236385
376	3250.31326
377	3249.444574
378	3248.548867
379	3248.052089
380	3247.476924
381	3246.553457
382	3245.599935
383	3242.681707
384	3240.709882
385	3237.885165
386	3234.503973
387	3232.22603
388	3231.20101
389	3229.231967
390	3228.833891
391	3226.355052
392	3223.195165
393	3219.8242
394	3217.230417
395	3214.199164
396	3211.919205
397	3208.836533
398	3207.541401
399	3203.653641
400	3200.494989
401	3196.619814
402	3195.071448
403	3191.206979
404	3187.864795
405	3184.435246
406	3182.382473
407	3181.232631
408	3180.447629
409	3177.365589
410	3176.8472
411	3173.847342
412	3173.063837
413	3171.009468
414	3170.423625
415	3167.165764
416	3166.885323
417	3166.203455
418	3163.846743
419	3162.824936
420	3162.477605
421	3158.586853
422	3158.230853
423	3157.142904
424	3154.823621
425	3153.403864
426	3150.628359
427	3149.238833
428	3148.709789
429	3145.490607
430	3143.030446
431	3140.77026
432	3137.543541
433	3135.35204
434	3133.099728
435	3128.653331
436	3126.530443
437	3123.03732
438	3122.131345
439	3121.792968
440	3118.771562
441	3118.011915
442	3116.057072
443	3113.539696
444	3111.267998
445	3108.213992
446	3106.472744
447	3105.599406
448	3104.773679
449	3103.100548
450	3102.087163
451	3098.561282
452	3096.530298
453	3093.347983
454	3092.602168
455	3089.059224
456	3088.598386
457	3085.782634
458	3085.010384
459	3084.04452
460	3082.456401
461	3080.228932
462	3077.477199
463	3077.136215
464	3076.273069
465	3073.438309
466	3071.330085
467	3069.555986
468	3067.457087
469	3064.806232
470	3064.214792
471	3062.066545
472	3059.290038
473	3058.163424
474	3054.828263
475	3053.408068
476	3052.58314
477	3048.195098
478	3045.953077
479	3044.247489
480	3039.776936
481	3036.272712
482	3034.26452
483	3033.281314
484	3032.36851
485	3030.487277
486	3028.853775
487	3025.596122
488	3023.659313
489	3022.453848
490	3018.937718
491	3016.07456
492	3015.534416
493	3013.246683
494	3012.985869
495	3011.743617
496	3008.652
497	3007.549438
498	3006.558624
499	3004.076967
500	3001.446007
501	2998.930127
502	2996.24048
503	2995.644323
504	2993.421511
505	2992.627119
506	2991.969588
507	2991.742417
508	2990.699002
509	2989.974786
510	2989.115878
511	2986.413386
512	2985.010047
513	2981.156936
